title,class
Professor Emerita,1
Associate Professor and Undergraduate Coordinator,1
Assistant Professor,1
Real World Projects Coordinator | Professor,1
Adjunct Professor,2
"Office Assistant, Department of Civil and Environmental Engineering",3
Administrative Assistant,3
"Affiliated Faculty, Electrical and Computer Engineering",3
Associate Professor,1
Assistant Research Professor,1
Assistant Professor,1
Assistant Teaching Professor,2
Associate  Dean of Engineering,3
Program Director BioMolecular Engineering Professor,1
Bykhovsky Professor of Chemical Engineering ,1
Senior Lecturer,2
Assistant Professor,1
Research Assistant Professor,2
Associate Professor ,1
"Adjunct Professor “ ECE; Professor “ EPP, CS; Technical Director “ CyLab",1
Assistant Professor,1
"Assistant Teaching Professor “ ECE, SDS",2
"Graduate Secretary, MAE",3
Associate Professor,1
Professor,1
Professor Emeritus “ ECE,1
Professor,1
Assistant Professor of Civil Engineering,1
Senior Secretary,3
Fiscal Clerk,3
Instructor / Analyst,3
Research Assistant Professor,2
Assistant Professor,1
Fiscal Clerk,3
Assistant Professor,1
Associate Professor,1
Professor,1
Secretary for Graduate Studies and Administration,3
Associate Professor ,1
Director of Continuing Education,3
Professor,1
Full Time Faculty,2
Assistant Professor,1
"Assistant Professor, TATM",1
Associate Vice President for Research,3
Distinguished Senior Lecturer,3
Administrative Associate,3
Assistant Professor,1
Staff Assistant,3
Full Time Faculty,2
Professor of Aeronautics and Astronautics,1
Professor of Engineering,1
"Assistant Professor (ME, MSE)",1
Assistant Teaching Professor,2
"Assistant Professor, Biomedical Engineering",1
"Interim ME Department Chair, Program Director-Engineering Professor",1
 Program Assistant,3
Instructor,2
Professor,1
"Executive Assistant, Administrative Staff",3
Assistant Professor,1
Research Faculty,2
Assistant Professor,1
Assistant Professor,1
Teaching Associate Professor,2
Senior Lecturer,2
Joseph P. Ripley Professor of Engineering,1
Adjunct Faculty,2
Associate Professor,1
"Accounting Clerk, Department of Mechanical and Aerospace Engineering",3
 Associate Teaching Professor,2
Adjunct Faculty,3
"Assistant Co-op Coordinator (Global), Engineering Co-op",3
Adjunct Assistant Professor,2
Associate Research Professor,2
Professor,1
"Department Head; Professor, Biomedical Engineering",1
Professor Emeritus,1
"Assistant Teaching Professor, Engineering and Public Policy",2
Teaching Professor,2
Lecturer,2
Administrative Assistant,3
Mechanical and Aerospace Engineering - Adjunct Assistant Professor,2
Associate Professor,1
Associate Professor Energy and Mineral Engineering and Chemical Engineering,1
Associate Professor,1
"Supply Technician, Engineering Support Staff",3
Associate Professor CE Undergraduate Advisor,1
Assistant Professor,1
Professor,1
Professor of Practice,2
Professor,1
Teaching Associate Professor,2
ASSISTANT PROFESSOR,1
Associate Professor,1
Emanuel E. Landsman (1958) Career Development Professor,1
"Assistant Professor of Electrical Engineering and Computer Science, Physical Medicine and Rehabilitation, and Mechanical Engineering",1
Department Chair and Assistant Professor,1
Corporate and Professional Education,1
Teaching Associate Professor,2
Research Associate Professor,2
Academic Advisor,3
NEC Professor of Software Science and Engineering,1
Accounting Tech,3
Assistant Research Professor,2
Master Administrative Assistant,3
"Instructors, Visiting, Adjunct and Research Professors",2
Adjunct Faculty,2
Adjunct,2
Associate Professor ,1
Management Assistant,3
Assistant Research Professor Biomedical Engineering ,3
Assistant Professor,1
Research Asst Professor,2
Lecturer,2
Associate Professor,1
Associate Professor,1
Assistant Professor / CWJCR,1
Assistant Professor of Computer Science Assistant Professor of Computer Engineering,1
